key,arabic,english,french,ar_source,en_source,fr_source,translation_status,use_count,first_used_in
ETA status,حالة ETA,ETA status,Statut ETA,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/EtaStatus.cshtml
Each,نصيب كل شخص,Each,Chacun,view,view,view,translated in all three,1,CrossBuy/Views/PosApp/Terminal.cshtml
"Each currency has its own decimal places (USD 2, KWD 3) — used when displaying amounts in that currency.",لكل عملة عدد خانات عشرية خاص بها (الدولار 2، الدينار 3). يُستخدم في عرض المبالغ بتلك العملة.,"Each currency has its own decimal places (USD 2, KWD 3) — used when displaying amounts in that currency.","Chaque devise possède ses propres décimales (USD 2, KWD 3) — utilisées lors de l'affichage des montants dans cette devise.",view,view,view,translated in all three,1,CrossBuy/Views/Currency/Currencies.cshtml
"Each terminal = isolated drawer + own receipt sequence + shifts — setup only, no selling or GL.",كل جهاز = خزنة مستقلة + تسلسل أرقام خاص + ورديات — تأسيس فقط، لا بيع ولا قيد.,"Each terminal = isolated drawer + own receipt sequence + shifts — setup only, no selling or GL.","Chaque terminal = tiroir isolé + sa propre séquence de tickets + services — configuration uniquement, aucune vente ni écriture comptable.",view,view,view,translated in all three,1,CrossBuy/Views/Pos/Terminals.cshtml
Earlier,السابق,Earlier,Précédent,view,view,view,translated in all three,1,CrossBuy/Views/Roster/Mine.cshtml
Early,انصراف مبكر,Early,Départ anticipé,view,view,view,translated in all three,1,CrossBuy/Views/Roster/Mine.cshtml
Early leave,خروج مبكر,Early leave,Départ anticipé,view,view,view,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
Earnings,المستحقات,Earnings,Gains,view,view,view,translated in all three,4,CrossBuy/Views/Accounting/Payslip.cshtml
EarningsAndDeductions,الإضافي والخصومات,Earnings and Deductions,Gains et retenues,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
Edit,تعديل,Edit,Modifier,shared,shared,shared,translated in all three,41,CrossBuy/Views/Accounting/ChartOfAccounts.cshtml
Edit Draft Entry,تعديل مسودة قيد,Edit Draft Entry,Modifier le brouillon,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/CreateJournal.cshtml
Edit Event,تعديل الحدث,Edit Event,Modifier l'événement,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Edit account,تعديل حساب,Edit account,Modifier le compte,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/ChartOfAccounts.cshtml
Edit activity,تعديل النشاط,Edit activity,Modifier l'activité,view,view,view,translated in all three,1,CrossBuy/Views/Crm/Activities.cshtml
Edit activity type,تعديل نوع النشاط,Edit activity type,Modifier le type d'activité,view,view,view,translated in all three,1,CrossBuy/Views/Project/ActivityTypes.cshtml
Edit allocation,تعديل التحميل,Edit allocation,Modifier l'affectation,view,view,view,translated in all three,1,CrossBuy/Views/Project/EquipmentDepreciation.cshtml
Edit application,تعديل الطلب,Edit application,Modifier la candidature,view,view,view,translated in all three,1,CrossBuy/Views/Admin/ApplicationForm.cshtml
Edit brand,تعديل علامة,Edit brand,Modifier la marque,view,view,view,translated in all three,1,CrossBuy/Views/Brand/BrandEditor.cshtml
Edit campaign,تعديل الحملة,Edit campaign,Modifier la campagne,view,view,view,translated in all three,1,CrossBuy/Views/Crm/Campaigns.cshtml
Edit category,تعديل فئة,Edit category,Modifier la catégorie,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/CategoryForm.cshtml
Edit course,تعديل دورة,Edit course,Modifier la formation,view,view,view,translated in all three,1,CrossBuy/Views/Admin/TrainingCourseEditor.cshtml
Edit currency,تعديل العملة,Edit currency,Modifier la devise,view,view,view,translated in all three,1,CrossBuy/Views/Currency/Currencies.cshtml
Edit customer,تعديل العميل,Edit customer,Modifier le client,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/Customers.cshtml
Edit group,تعديل المجموعة,Edit group,Modifier le groupe,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Modifiers.cshtml
Edit in Report Studio,تعديل في استوديو التقارير,Edit in Report Studio,Modifier dans Report Studio,view,view,view,translated in all three,1,CrossBuy/Views/Reports/Viewer.cshtml
Edit in Report Studio — saving creates your own copy,تعديل في استوديو التقارير — الحفظ ينشئ نسخة خاصة بك,Edit in Report Studio — saving creates your own copy,Modifier dans Report Studio — l’enregistrement crée votre propre copie,view,view,view,translated in all three,2,CrossBuy/Views/Reports/Viewer.cshtml
Edit invoice,تعديل الفاتورة,Edit invoice,Edit invoice,shared,fallback-to-key,fallback-to-key,english falls back to key text,4,CrossBuy/Views/Accounting/NewPurchaseInvoice.cshtml
Edit item,تعديل صنف,Edit item,Modifier l'article,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ItemForm.cshtml
Edit lead,تعديل العميل المحتمل,Edit lead,Modifier le prospect,view,view,view,translated in all three,1,CrossBuy/Views/Crm/Leads.cshtml
Edit message,تعديل الرسالة,Edit message,Edit message,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Chat/Index.cshtml
Edit operation,تعديل العملية,Edit operation,Modifier l'opération,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/Routing.cshtml
Edit opportunity,تعديل الفرصة,Edit opportunity,Modifier l'opportunité,view,view,view,translated in all three,1,CrossBuy/Views/Crm/Opportunities.cshtml
Edit payment method,تعديل طريقة الدفع,Edit payment method,Modifier le mode de paiement,view,view,view,translated in all three,1,CrossBuy/Views/Pos/PaymentMethods.cshtml
Edit policy,تعديل سياسة,Edit policy,Modifier la politique,view,view,view,translated in all three,1,CrossBuy/Views/Crm/SlaPolicies.cshtml
Edit price list,تعديل قائمة أسعار,Edit price list,Modifier la liste de prix,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/PriceListEditor.cshtml
Edit project,تعديل مشروع,Edit project,Modifier le projet,view,view,view,translated in all three,1,CrossBuy/Views/Project/Projects.cshtml
Edit promotion,تعديل العرض,Edit promotion,Modifier la promotion,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/PromotionEditor.cshtml
Edit routing,تعديل مسار التصنيع,Edit routing,Modifier la gamme,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/ItemForm.cshtml
Edit rule,تعديل قاعدة,Edit rule,Modifier la règle,view,view,view,translated in all three,1,CrossBuy/Views/Crm/ScoringRules.cshtml
Edit table,تعديل الطاولة,Edit table,Modifier la table,view,view,view,translated in all three,1,CrossBuy/Views/Pos/FloorPlan.cshtml
Edit tax code,تعديل كود الضريبة,Edit tax code,Edit tax code,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Accounting/TaxCodes.cshtml
Edit template,تعديل نموذج,Edit template,Modifier le modèle,view,view,view,translated in all three,1,CrossBuy/Views/Admin/AppraisalTemplateEditor.cshtml
Edit terminal,تعديل جهاز,Edit terminal,Modifier le terminal,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Terminals.cshtml
Edit the layout,تعديل النموذج,Edit the layout,Modifier la mise en page,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_ReportPrintMenu.cshtml
Edit vendor,تعديل المورد,Edit vendor,Modifier le fournisseur,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/Vendors.cshtml
Edit warehouse,تعديل مخزن,Edit warehouse,Modifier l'entrepôt,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/Warehouses.cshtml
Edit work center,تعديل مركز العمل,Edit work center,Modifier le poste de charge,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/WorkCenters.cshtml
Elevated,صلاحية موسّعة,Elevated,Élevé,view,view,view,translated in all three,1,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Email,الايميل,Email,E-mail,shared,shared,shared,translated in all three,20,CrossBuy/Views/Account/Profile.cshtml
Email is required.,البريد الإلكتروني مطلوب.,Email is required.,L'e-mail est requis.,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
Email sent,تم إرسال البريد,Email sent,E-mail envoyé,view,fallback-to-key,shared,english falls back to key text,1,CrossBuy/Views/Comm/Index.cshtml
Emergency,طارئة,Emergency,Urgence,view,view,view,translated in all three,1,CrossBuy/Views/Admin/PolicesData.cshtml
Emoji,إيموجي,Emoji,Emoji,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Chat/Index.cshtml
Employee,الموظف,Employee,Employé,view,view,view,translated in all three,24,CrossBuy/Views/Accounting/AccountingRoles.cshtml
Employee No.,رقم الموظف,Employee No.,N° d'employé,view,view,view,translated in all three,1,CrossBuy/Views/People/Profile.cshtml
Employee Registration,تسجيل موظف,Employee Registration,Enregistrement d'un employé,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
Employee comment,تعليق الموظف,Employee comment,Commentaire de l'employé,view,view,view,translated in all three,1,CrossBuy/Views/Admin/AppraisalScore.cshtml
Employee contracts & documents,Employee contracts & documents,Employee contracts & documents,Employee contracts & documents,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Admin/HrDocuments.cshtml
Employee has been saved successfully.,تم حفظ الموظف بنجاح.,Employee has been saved successfully.,L'employé a été enregistré avec succès.,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
Employee home address,عنوان سكن الموظف,Employee home address,Adresse du domicile de l'employé,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
Employee id,رقم الموظف,Employee id,Identifiant de l'employé,view,view,view,translated in all three,1,CrossBuy/Views/Roster/Index.cshtml
Employee is inactive,الموظف غير نشط,Employee is inactive,L'employé est inactif,view,view,view,translated in all three,1,CrossBuy/Views/Roster/Index.cshtml
Employee is not in this company,الموظف لا ينتمي لهذه الشركة,Employee is not in this company,L'employé n'appartient pas à cette société,view,view,view,translated in all three,1,CrossBuy/Views/Roster/Index.cshtml
Employee no.,رقم الموظف,Employee no.,N° d'employé,view,view,view,translated in all three,1,CrossBuy/Views/EmployeeOnboarding/Index.cshtml
Employee onboarding,التحاق الموظف,Employee onboarding,Intégration de l'employé,view,view,view,translated in all three,1,CrossBuy/Views/EmployeeOnboarding/Index.cshtml
Employee photo,صورة الموظف,Employee photo,Photo de l'employé,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
Employee requests,طلبات الموظفين,Employee requests,Employee requests,view,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Approvals/Index.cshtml
Employee saved successfully.,تم حفظ الموظف بنجاح.,Employee saved successfully.,Employé enregistré avec succès.,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
Employee share,حصة الموظف,Employee share,Part de l'employé,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
"Employee: Dr WIP / Cr wage expense (reclass). External: Dr WIP / Cr cash or payable (+WHT). Foreign: rate in foreign, converted to functional at entry (Buy rate) — WIP stays functional.",الموظف: مدين WIP / دائن مصروف الأجور (إعادة تصنيف). الخارجي: مدين WIP / دائن نقدية أو مستحق (+ض.خصم). بعملة أجنبية: السعر بالأجنبي ويُحوَّل للوظيفية عند الإدخال (سعر «شراء») — WIP يبقى بالوظيفية. تُحمَّل القيمة فورًا.,"Employee: Dr WIP / Cr wage expense (reclass). External: Dr WIP / Cr cash or payable (+WHT). Foreign: rate in foreign, converted to functional at entry (Buy rate) — WIP stays functional.","Employé : Dr WIP / Cr charge de salaires (reclassement). Externe : Dr WIP / Cr trésorerie ou dette (+WHT). Devise étrangère : taux en devise, converti en devise fonctionnelle à la saisie (taux d'achat) — le WIP reste en devise fonctionnelle.",view,view,view,translated in all three,1,CrossBuy/Views/Inventory/WorkOrderDetails.cshtml
EmployeeInsuranceContribution,تأمين الموظف,Employee Insurance Contribution,Cotisation d'assurance du salarié,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
EmployeeSocialInsurance,تأمينات الموظف,Employee Social Insurance,Assurance sociale du salarié,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
Employees,الموظفون,Employees,Employés,shared,shared,shared,translated in all three,5,CrossBuy/Views/Admin/CourseEnrollments.cshtml
Employees List,قائمة الموظفين,Employees List,Liste des employés,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeesList.cshtml
Employees portal,بوابة الموظفين,Employees portal,Portail des employés,view,view,view,translated in all three,1,CrossBuy/Views/Portal/Choose.cshtml
Employer social insurance,التأمينات (حصة الشركة),Employer social insurance,Assurance sociale employeur,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/Payslip.cshtml
EmployerInsuranceContribution,تأمين الشركة,Employer Insurance Contribution,Cotisation d'assurance de l'employeur,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
Employment,نوع التوظيف,Employment,Emploi,view,view,view,translated in all three,1,CrossBuy/Views/People/Profile.cshtml
Employment letter,إثبات عمل,Employment letter,Attestation d'emploi,view,view,view,translated in all three,1,CrossBuy/Views/People/Requests.cshtml
Employment type,نوع التوظيف,Employment type,Type d'emploi,view,view,view,translated in all three,1,CrossBuy/Views/Admin/ApplicationForm.cshtml
Empty,فارغ,Empty,Vide,view,view,view,translated in all three,1,CrossBuy/Views/Admin/Applications.cshtml
Empty fields inherit from the company when rendered on receipts.,الحقول الفارغة تُورَث من بيانات الشركة عند العرض على الإيصالات.,Empty fields inherit from the company when rendered on receipts.,Les champs vides héritent de la société lors de l'affichage sur les reçus.,view,view,view,translated in all three,1,CrossBuy/Views/Brand/BrandEditor.cshtml
EnableShortLeave,تفعيل الاستئذان,Enable Short Leave,Activer les congés courts,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/Polices.cshtml
Enabled,مفعل,Enabled,Activé,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/EtaStatus.cshtml
Enabled capabilities,القدرات المفعّلة,Enabled capabilities,Capacités activées,view,view,view,translated in all three,1,CrossBuy/Views/Pos/Setup.cshtml
Encash,صرف,Encash,Encaisser,view,view,view,translated in all three,1,CrossBuy/Views/Admin/LeaveAccrual.cshtml
Encashable leave,رصيد الإجازات القابل للصرف,Encashable leave,Congé encaissable,view,view,view,translated in all three,1,CrossBuy/Views/Admin/FinalSettlement.cshtml
Encashable leave types,أنواع الإجازات القابلة للصرف,Encashable leave types,Types de congés encaissables,view,view,view,translated in all three,1,CrossBuy/Views/Admin/LeaveAccrual.cshtml
End,إلى,End,Fin,view,view,view,translated in all three,4,CrossBuy/Views/Admin/HrDocuments.cshtml
End date,تاريخ النهاية,End date,Date de fin,view,view,view,translated in all three,2,CrossBuy/Views/Crm/Campaigns.cshtml
End membership,End membership,End membership,End membership,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Project/Team.cshtml
End this membership?,End this membership?,End this membership?,End this membership?,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Project/Team.cshtml
Ended,Ended,Ended,Ended,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Project/Team.cshtml
Ends,ينتهي,Ends,Se termine,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Ends the next day,ينتهي في اليوم التالي,Ends the next day,Se termine le lendemain,view,view,view,translated in all three,2,CrossBuy/Views/Roster/Index.cshtml
"Engagement is compared across two equal, adjacent windows of",تتم مقارنة التفاعل عبر نافذتين متساويتين ومتجاورتين مدة كل منهما,"Engagement is compared across two equal, adjacent windows of",L'engagement est comparé sur deux fenêtres égales et adjacentes de,view,view,view,translated in all three,1,CrossBuy/Views/Crm/AccountInsights.cshtml
English,الإنجليزية,English,Anglais,view,view,view,translated in all three,1,CrossBuy/Views/Shared/_mainLayout.cshtml
Enroll,تسجيل,Enroll,Inscrire,view,view,view,translated in all three,1,CrossBuy/Views/Admin/CourseEnrollments.cshtml
Enroll employees,تسجيل موظفين,Enroll employees,Inscrire des employés,view,view,view,translated in all three,1,CrossBuy/Views/Admin/CourseEnrollments.cshtml
Enrollments,التسجيلات,Enrollments,Inscriptions,view,view,view,translated in all three,1,CrossBuy/Views/Admin/TrainingCourses.cshtml
Enter,دخول,Enter,Entrer,view,view,view,translated in all three,2,CrossBuy/Views/Portal/Choose.cshtml
Enter item name,أدخل اسم الصنف,Enter item name,Saisir le nom de l'article,view,view,view,translated in all three,1,CrossBuy/Views/Pos/QuickMenu.cshtml
Enter opening balances,إدخال الأرصدة الافتتاحية,Enter opening balances,Saisir les soldes d'ouverture,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/OpeningBalances.cshtml
Enter personal and contact information for the new employee.,أدخل المعلومات الشخصية وبيانات الاتصال للموظف الجديد.,Enter personal and contact information for the new employee.,Saisissez les informations personnelles et de contact du nouvel employé.,view,view,view,translated in all three,1,CrossBuy/Views/Admin/EmployeeData.cshtml
Enter score,إدخال,Score,Noter,view,view,view,translated in all three,1,CrossBuy/Views/Admin/Appraisals.cshtml
Enter the remaining trial-balance accounts (cash/banks/loans/capital…). The system balances via the Opening Balance Equity account.,أدخل أرصدة باقي حسابات الميزان (نقدية/بنوك/قروض/رأس المال…). يوازن النظام تلقائيًا عبر حساب الرصيد الافتتاحي.,Enter the remaining trial-balance accounts (cash/banks/loans/capital…). The system balances via the Opening Balance Equity account.,Saisissez les comptes restants de la balance générale (caisse/banques/emprunts/capital…). Le système équilibre via le compte de capitaux propres d'ouverture.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/OpeningBalances.cshtml
Entitlement days per year,عدد أيام الاستحقاق سنويًا,Entitlement days per year,Jours de droit par an,view,view,view,translated in all three,1,CrossBuy/Views/Admin/PolicesData.cshtml
EntitlementDaysPerYear,عدد ايام الاجازه السنوية,Entitlement Days Per Year,Jours de droit par an,shared,shared,shared,translated in all three,1,CrossBuy/Views/Admin/PolicesData.cshtml
Entity,الكيان,Entity,Entité,view,view,view,translated in all three,3,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Entity #,رقم الكيان,Entity #,N° d'entité,view,view,view,translated in all three,1,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Entity type,نوع الكيان,Entity type,Type d'entité,view,view,view,translated in all three,1,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Entries examined,القيود التي تم فحصها,Entries examined,Écritures examinées,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/AiInsights.cshtml
Entry,تسجيل,Entry,Saisie,view,view,view,translated in all three,7,CrossBuy/Views/Accounting/AiInsights.cshtml
Entry Lines,سطور القيد,Entry Lines,Lignes d'écriture,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/CreateJournal.cshtml
Entry No,رقم القيد,Entry No,N° d'écriture,view,view,view,translated in all three,3,CrossBuy/Views/Accounting/Journals.cshtml
Entry description,وصف القيد,Entry description,Description de l'écriture,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/CreateJournal.cshtml
Entry lines,بنود القيد,Entry lines,Lignes d écriture,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/JournalEntry.cshtml
Entry log,سجل الإدخال,Entry log,Journal des saisies,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/OpeningBalances.cshtml
Entry on post: Dr project execution cost (510104) / Cr inventory (1103) — tagged to the project. Stock is issued via the inventory service.,القيد عند الترحيل: مدين تكلفة تنفيذ المشاريع (510104) / دائن المخزون (1103) — موسوم بالمشروع. الصرف يتم عبر خدمة المخزون.,Entry on post: Dr project execution cost (510104) / Cr inventory (1103) — tagged to the project. Stock is issued via the inventory service.,Écriture à la comptabilisation : Débit coût exécution projets (510104) / Crédit stock (1103) — affecté au projet. La sortie passe par le service de stock.,view,view,view,translated in all three,1,CrossBuy/Views/Project/MaterialIssues.cshtml
Entry: Dr cost / Cr accumulated depreciation / Cr opening equity (NBV). Future depreciation continues on remaining life.,القيد: مدين تكلفة الأصل / دائن مجمّع الإهلاك (بالمجمّع) / دائن الرصيد الافتتاحي (بالقيمة الدفترية). يكمل الإهلاك على العمر المتبقي.,Entry: Dr cost / Cr accumulated depreciation / Cr opening equity (NBV). Future depreciation continues on remaining life.,Écriture : Dr coût / Cr amortissement cumulé / Cr capitaux propres d'ouverture (VNC). L'amortissement futur se poursuit sur la durée restante.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/OpeningBalances.cshtml
Entry: Dr write-off expense (510103) / Cr inventory (1103). Expired batches may be written off.,القيد: مدين مصروف الإعدام (510103) / دائن المخزون (1103). الدفعات المنتهية مسموح بإعدامها.,Entry: Dr write-off expense (510103) / Cr inventory (1103). Expired batches may be written off.,Écriture : Dr charge de radiation (510103) / Cr stock (1103). Les lots expirés peuvent être radiés.,view,view,view,translated in all three,1,CrossBuy/Views/Inventory/NewWriteOff.cshtml
Environment,البيئة,Environment,Environnement,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/EtaStatus.cshtml
Equipment,معدات,Equipment,Équipement,view,view,view,translated in all three,3,CrossBuy/Views/Project/Boq.cshtml
Equipment depreciation,إهلاك المعدات,Equipment depreciation,Amortissement des équipements,view,view,view,translated in all three,2,CrossBuy/Views/Project/EquipmentDepreciation.cshtml
Equity,حقوق الملكية,Equity,Capitaux propres,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/BalanceSheet.cshtml
Error,خطـــــأ,Error,Erreur,shared,shared,shared,translated in all three,5,CrossBuy/Views/Admin/EmployeeData.cshtml
Error / actions,الخطأ / الإجراءات,Error / actions,Erreur / actions,view,view,view,translated in all three,1,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Error.,خطأ.,Error.,Erreur.,view,view,view,translated in all three,1,CrossBuy/Views/Shared/Error.cshtml
Errors only,الأخطاء فقط,Errors only,Erreurs uniquement,view,view,view,translated in all three,1,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Est. cost,التكلفة المقدّرة,Est. cost,Coût estimé,view,view,view,translated in all three,4,CrossBuy/Views/Accounting/FixedAssetDetail.cshtml
Est. value,القيمة المتوقعة,Est. value,Valeur est.,view,view,view,translated in all three,2,CrossBuy/Views/Crm/Leads.cshtml
Estimated,التقديري,Estimated,Estimé,view,view,view,translated in all three,1,CrossBuy/Views/Project/Budget.cshtml
Estimated = BOQ cost breakdown · Actual (per item) = posted material issues attributed via BOQ item · Total actual (510104) also includes labor & unattributed material.,Estimated = BOQ cost breakdown · Actual (per item) = posted material issues attributed via BOQ item · Total actual (510104) also includes labor & unattributed material.,Estimated = BOQ cost breakdown · Actual (per item) = posted material issues attributed via BOQ item · Total actual (510104) also includes labor & unattributed material.,Estimated = BOQ cost breakdown · Actual (per item) = posted material issues attributed via BOQ item · Total actual (510104) also includes labor & unattributed material.,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Project/Budget.cshtml
Evening,مسائي,Evening,Soir,view,view,view,translated in all three,2,CrossBuy/Views/Pos/Terminals.cshtml
Evening shift,وردية مسائية,Evening shift,Service du soir,view,view,view,translated in all three,1,CrossBuy/Views/PosApp/Start.cshtml
Event,الحدث,Event,Événement,view,view,view,translated in all three,1,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Event Description,وصف الحدث,Event Description,Description de l'événement,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Event End Date,تاريخ النهاية,Event End Date,Date de fin,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Event End Time,وقت النهاية,Event End Time,Heure de fin,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Event Location,مكان الحدث,Event Location,Lieu de l'événement,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Event Name,اسم الحدث,Event Name,Nom de l'événement,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Event Start Date,تاريخ البداية,Event Start Date,Date de début,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Event Start Time,وقت البداية,Event Start Time,Heure de début,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Event completed (all consumers),اكتمال الحدث (جميع المستهلكين),Event completed (all consumers),Événement terminé (tous les consommateurs),view,view,view,translated in all three,1,CrossBuy/Views/BusinessEventMonitor/_Details.cshtml
Event name is required,اسم الحدث مطلوب,Event name is required,Le nom de l'événement est requis,view,fallback-to-key,view,english falls back to key text,1,CrossBuy/Views/Calendar/Index.cshtml
Event starting now,حدث يبدأ الآن,Event starting now,Événement commençant maintenant,shared,fallback-to-key,shared,english falls back to key text,1,CrossBuy/Views/Shared/_CalendarReminders.cshtml
Event type,نوع الحدث,Event type,Type d'événement,view,view,view,translated in all three,1,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Event uid,المعرّف الفريد للحدث,Event uid,Uid d'événement,view,view,view,translated in all three,1,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Events,الأحداث,Events,Événements,view,view,view,translated in all three,1,CrossBuy/Views/BusinessEventMonitor/Index.cshtml
Every,كل,Every,Tous les,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/FixedAssetDetail.cshtml
Every (months),كل (أشهر),Every (months),Tous les (mois),view,view,view,translated in all three,1,CrossBuy/Views/Accounting/FixedAssetDetail.cshtml
"Every journal entry this movement produced is listed below, with its own lines.",كل قيد أنتجته هذه الحركة موجود بالأسفل، بسطوره كاملة.,"Every journal entry this movement produced is listed below, with its own lines.","Chaque écriture produite par ce mouvement est listée ci-dessous, avec ses lignes.",view,view,view,translated in all three,1,CrossBuy/Views/Accounting/MovementSummary.cshtml
Every movement in this period is matched: nothing is outstanding on this account.,كل الحركات في هذه الفترة متطابقة: لا يوجد رصيد قائم على هذا الحساب.,Every movement in this period is matched: nothing is outstanding on this account.,Tous les mouvements de la période se compensent : aucun solde en souffrance.,view,view,view,translated in all three,2,CrossBuy/Views/Accounting/CustomerStatement.cshtml
Everyday Fresh &,Everyday Fresh &,Everyday Fresh &,Everyday Fresh &,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,1,CrossBuy/Views/Home/Store.cshtml
Everyone,الجميع,Everyone,Tout le monde,view,view,view,translated in all three,1,CrossBuy/Views/Roster/Index.cshtml
Everything that happens to this record will appear here,كل ما يحدث لهذا السجل سيظهر هنا,Everything that happens to this record will appear here,Everything that happens to this record will appear here,shared,fallback-to-key,fallback-to-key,english falls back to key text,1,CrossBuy/Views/Shared/_DocEventTimeline.cshtml
Excel mode,وضع الإكسل,Excel mode,Mode Excel,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/CreateJournal.cshtml
Exchange Rates,أسعار الصرف,Exchange Rates,Taux de change,view,view,view,translated in all three,1,CrossBuy/Views/Currency/ExchangeRates.cshtml
Exchange rate,سعر الصرف,Exchange rate,Taux de change,shared,shared,shared,translated in all three,2,CrossBuy/Views/Accounting/PurchaseReturnDetail.cshtml
Execute transfer,تنفيذ التحويل,Execute transfer,Exécuter le virement,view,view,view,translated in all three,1,CrossBuy/Views/Accounting/Transfer.cshtml
Executed qty (cumulative),الكمية المنفّذة (تراكمي),Executed qty (cumulative),Qté exécutée (cumul),view,view,view,translated in all three,1,CrossBuy/Views/Project/Progress.cshtml
Executed value,قيمة المنفّذ,Executed value,Valeur exécutée,view,view,view,translated in all three,1,CrossBuy/Views/Project/Progress.cshtml
Execution & progress,Execution & progress,Execution & progress,Execution & progress,fallback-to-key,fallback-to-key,fallback-to-key,MISSING arabic — key shown to user,2,CrossBuy/Views/Project/Progress.cshtml
