message_id,kind,source,english,arabic,french,translated,evidence,where
MSG-EX-EmployeeService-9421,business-rule refusal,InvalidOperationException,The employee photo could not be saved: the server folder wwwroot/uploads/employees is not writable. ,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/EmployeeService.cs
MSG-EX-EquipmentDepreciationService-5254,business-rule refusal,InvalidOperationException,Allocation not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/EquipmentDepreciationService.cs
MSG-EX-JobTitleService-1200,business-rule refusal,Exception,JobTitle not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/JobTitleService.cs
MSG-EX-MaintenanceService-2711,business-rule refusal,InvalidOperationException,Schedule not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/MaintenanceService.cs
MSG-EX-PolicesService-6412,business-rule refusal,KeyNotFoundException,The parent policy was not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-6899,business-rule refusal,KeyNotFoundException,The attendance policy was not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-9954,business-rule refusal,KeyNotFoundException,The parent policy was not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-10448,business-rule refusal,InvalidOperationException,This leave type has already been added to this policy.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-11547,business-rule refusal,InvalidOperationException,"This leave type is already present on another record, so it cannot be changed.",(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-11842,business-rule refusal,KeyNotFoundException,The leave policy was not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-13600,business-rule refusal,Exception,Leave type not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-13974,business-rule refusal,Exception,Leave Type not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-14855,business-rule refusal,InvalidOperationException,Arabic and English names are required.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-15618,business-rule refusal,KeyNotFoundException,Policy not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-18070,business-rule refusal,KeyNotFoundException,Parent policy not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PolicesService-19594,business-rule refusal,KeyNotFoundException,Salary policy not found.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PolicesService.cs
MSG-EX-PricingService-26080,business-rule refusal,InvalidOperationException,Price list not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PricingService.cs
MSG-EX-PricingService-42372,business-rule refusal,InvalidOperationException,Offer not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/PricingService.cs
MSG-EX-ProgressBillingService-16102,business-rule refusal,InvalidOperationException,Certificate not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/ProgressBillingService.cs
MSG-EX-ProgressService-9764,business-rule refusal,InvalidOperationException,Measurement not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/ProgressService.cs
MSG-EX-ProjectMaterialIssueService-3183,business-rule refusal,InvalidOperationException,Issue note not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/ProjectMaterialIssueService.cs
MSG-EX-ProjectService-3114,business-rule refusal,InvalidOperationException,المشروع غير موجود,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/ProjectService.cs
MSG-EX-ProjectService-5042,business-rule refusal,InvalidOperationException,نوع النشاط غير موجود,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/ProjectService.cs
MSG-EX-RecruitmentService-6030,business-rule refusal,InvalidOperationException,Order not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/RecruitmentService.cs
MSG-EX-SubcontractBillingService-3642,business-rule refusal,InvalidOperationException,Contract not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/SubcontractBillingService.cs
MSG-EX-SubcontractBillingService-7535,business-rule refusal,InvalidOperationException,Certificate not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/SubcontractBillingService.cs
MSG-EX-TrainingService-2529,business-rule refusal,InvalidOperationException,الدورة غير موجودة,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/TrainingService.cs
MSG-EX-VariationOrderService-3824,business-rule refusal,InvalidOperationException,Variation order not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/VariationOrderService.cs
MSG-EX-CommAttachmentService-14737,business-rule refusal,CommAccessDeniedException,attachment-remove,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Communication/CommAttachmentService.cs
MSG-EX-CommAuditWriter-5259,business-rule refusal,InvalidOperationException,An audit row needs a company. A row with no tenant is invisible to every company-scoped ,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Communication/CommAuditWriter.cs
MSG-EX-CommCommentService-28147,business-rule refusal,CommAccessDeniedException,comment-restore,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Communication/CommCommentService.cs
MSG-EX-ConstructionAuditService-5571,business-rule refusal,InvalidOperationException,Construction audit refused: CompanyID is unresolved. An unresolved company writes nothing.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Construction/ConstructionAuditService.cs
MSG-EX-ConstructionAuditService-5763,business-rule refusal,InvalidOperationException,Construction audit refused: EntityType is required.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Construction/ConstructionAuditService.cs
MSG-EX-ConstructionAuditService-5899,business-rule refusal,InvalidOperationException,"Construction audit refused: a CorrelationId is required, so one user action stays recognisable ",(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Construction/ConstructionAuditService.cs
MSG-EX-SubcontractScopeService-6747,business-rule refusal,InvalidOperationException,scope not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Construction/SubcontractScopeService.cs
MSG-EX-BusinessContextAccessor-2709,business-rule refusal,BusinessContextUnresolvedException,"No company could be resolved for this request. Either the user is not signed in, or the ",(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/BusinessContextAccessor.cs
MSG-EX-BusinessContextFactory-4662,business-rule refusal,BusinessContextUnresolvedException,"No company could be resolved for this request. Either the user is not signed in, or the ",(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/BusinessContextFactory.cs
MSG-EX-BusinessEventService-3102,business-rule refusal,BusinessEventContractException,PayloadVersion is the payload schema version and starts at 1.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/BusinessEventService.cs
MSG-EX-DocumentStorage-5181,business-rule refusal,ArgumentException,A storage root is required.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/DocumentStorage.cs
MSG-EX-DocumentStorage-7267,business-rule refusal,ArgumentException,An empty storage key names nothing.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/DocumentStorage.cs
MSG-EX-DocumentStorage-7658,business-rule refusal,InvalidOperationException,A storage key resolved outside the storage root.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/DocumentStorage.cs
MSG-EX-IPlatformPermissionVocabulary-4044,business-rule refusal,InvalidOperationException,A null IPlatformPermissionVocabulary was registered; the permission registry refuses to start.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/IPlatformPermissionVocabulary.cs
MSG-EX-PlatformRoleDirectory-9514,business-rule refusal,InvalidOperationException,These IModuleAccessService scopes are not in EntityRegistry.PermissionScopes: ,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/PlatformRoleDirectory.cs
MSG-EX-PlatformRoleDirectory-10105,business-rule refusal,InvalidOperationException,Two IModuleAccessService implementations claim the same scope: ,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/PlatformRoleDirectory.cs
MSG-EX-TaskScopeQuery-5288,business-rule refusal,NotSupportedException,"TaskItem carries no BranchId, so a Branch-breadth scope cannot be translated into a task ",(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/TaskScopeQuery.cs
MSG-EX-TaskScopeQuery-5925,business-rule refusal,NotSupportedException,A CrossCompany scope is not translated here. Cross-company reads go through ,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/TaskScopeQuery.cs
MSG-EX-AiProjectionReader-4656,business-rule refusal,AiRetrievalRequestException,The retrieval window ends before it begins.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/Ai/AiProjectionReader.cs
MSG-EX-AiProjectionReader-5515,business-rule refusal,AiRetrievalNotPermittedException,AI retrieval requires an authenticated user context; a system or worker context cannot retrieve ,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/Ai/AiProjectionReader.cs
MSG-EX-AiProjectionReader-5790,business-rule refusal,BusinessContextUnresolvedException,No company could be resolved for this request. There is no default company.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/Ai/AiProjectionReader.cs
MSG-EX-AiProjectionRevocationService-3694,business-rule refusal,ArgumentException,An entity type is required to revoke by entity.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/Ai/AiProjectionRevocationService.cs
MSG-EX-AiProjectionRevocationService-4993,business-rule refusal,ArgumentException,A projection type is required.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/Ai/AiProjectionRevocationService.cs
MSG-EX-AiProjectionRevocationService-6243,business-rule refusal,ArgumentException,A revocation reason is required — it is the audit evidence this operation exists to leave.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/Ai/AiProjectionRevocationService.cs
MSG-EX-AiProjectionRevocationService-8466,business-rule refusal,BusinessContextUnresolvedException,"Revocation requires an explicit company. There is no default company, and a company-less ",(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/Ai/AiProjectionRevocationService.cs
MSG-EX-AiProjectionStore-1711,business-rule refusal,BusinessContextUnresolvedException,An AI projection requires the company from its business event. There is no default company.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Platform/Ai/AiProjectionStore.cs
MSG-EX-ReportArchiveService-17036,business-rule refusal,ReportingException,Reporting administration is required to sweep the archive.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Reporting/ReportArchiveService.cs
MSG-EX-ReportDatasetRegistry-3657,business-rule refusal,ReportingException,Report dataset definitions are invalid:,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Reporting/ReportDatasetRegistry.cs
MSG-EX-ReportLibraryService-29979,business-rule refusal,ReportingException,A tag name is required.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Reporting/ReportLibraryService.cs
MSG-EX-ReportLibraryService-36300,business-rule refusal,ReportingException,A favourite requires a resolved employee.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Reporting/ReportLibraryService.cs
MSG-EX-ReportLibraryService-44917,business-rule refusal,ReportingException,A share needs a principal.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Reporting/ReportLibraryService.cs
MSG-EX-ReportLibraryService-45097,business-rule refusal,ReportingException,A share cannot expire in the past.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Reporting/ReportLibraryService.cs
MSG-EX-ReportLibraryService-48459,business-rule refusal,ReportingException,No company is resolved for this request; the report library is company-scoped.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Reporting/ReportLibraryService.cs
MSG-EX-ReportLibraryService-48832,business-rule refusal,ReportingException,Reporting administration is required for this operation.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Reporting/ReportLibraryService.cs
MSG-EX-TaskChecklistAndTemplateService-11727,business-rule refusal,InvalidOperationException,template not found,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/TasksCalendar/TaskChecklistAndTemplateService.cs
MSG-EX-WorkspaceAgendaService-8353,business-rule refusal,InvalidOperationException,Workspace agenda refused: the company is unresolved. There is no company fallback.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/TasksCalendar/WorkspaceAgendaService.cs
MSG-EX-WorkspaceAgendaService-8512,business-rule refusal,InvalidOperationException,Workspace agenda refused: the employee is unresolved. An agenda is always somebody's agenda.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/TasksCalendar/WorkspaceAgendaService.cs
MSG-EX-WorkspaceAgendaService-8695,business-rule refusal,ArgumentException,Workspace agenda refused: the range ends before it starts.,(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/TasksCalendar/WorkspaceAgendaService.cs
MSG-EX-WorkspaceSources-12812,business-rule refusal,InvalidOperationException,"The platform timeline is not registered in this environment, so recent activity cannot ",(thrown in English; localised at the controller where the screen does so),,source string is English,repository-verified,CrossBuy/BL/Workspace/WorkspaceSources.cs
MSG-CONFIRM-CreateJournal-25057,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Accounting/CreateJournal.cshtml  [dialog type: edit]
MSG-CONFIRM-AdministrativeBodiesCompany-5672,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Admin/AdministrativeBodiesCompany.cshtml  [dialog type: edit]
MSG-CONFIRM-JobTitle-5649,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Admin/JobTitle.cshtml  [dialog type: edit]
MSG-CONFIRM-LeaveTypesList-14981,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Admin/LeaveTypesList.cshtml  [dialog type: edit]
MSG-CONFIRM-RequiredDocTypesList-12222,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Admin/RequiredDocTypesList.cshtml  [dialog type: edit]
MSG-CONFIRM-RequiredDocTypesList-12371,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Admin/RequiredDocTypesList.cshtml  [dialog type: delete]
MSG-CONFIRM-_HrDocGallery-5907,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Admin/_HrDocGallery.cshtml  [dialog type: native]
MSG-CONFIRM-Index-31787,confirmation prompt,browser confirm(),Delete message?,حذف الرسالة؟,(missing — key shown),yes,repository-verified,CrossBuy/Views/Chat/Index.cshtml  [dialog type: native]
MSG-CONFIRM-Index-52919,confirmation prompt,browser confirm(),Leave this group?,مغادرة هذه المجموعة؟,(missing — key shown),yes,repository-verified,CrossBuy/Views/Chat/Index.cshtml  [dialog type: native]
MSG-CONFIRM-View-5560,confirmation prompt,browser confirm(),Delete this message?,حذف هذه الرسالة؟,(missing — key shown),yes,repository-verified,CrossBuy/Views/Comm/View.cshtml  [dialog type: native]
MSG-CONFIRM-PipelineEditor-9286,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Crm/PipelineEditor.cshtml  [dialog type: delete]
MSG-CONFIRM-ItemLocations-7142,confirmation prompt,project dialog,Save item locations?,حفظ مواقع الأصناف؟,Enregistrer les emplacements des articles ?,yes,repository-verified,CrossBuy/Views/Inventory/ItemLocations.cshtml  [dialog type: edit]
MSG-CONFIRM-NewCount-11869,confirmation prompt,project dialog,Post this stock count and create variance adjustments?,ترحيل الجرد الفعلي وإنشاء تسويات الفروقات؟,Comptabiliser cet inventaire physique et créer les ajustements d'écart ?,yes,repository-verified,CrossBuy/Views/Inventory/NewCount.cshtml  [dialog type: generic]
MSG-CONFIRM-NewWriteOff-12473,confirmation prompt,project dialog,Post this stock write-off? The quantities will be permanently removed.,ترحيل إعدام المخزون؟ سيتم خصم الكميات نهائيًا.,Comptabiliser cette radiation de stock ? Les quantités seront supprimées définitivement.,yes,repository-verified,CrossBuy/Views/Inventory/NewWriteOff.cshtml  [dialog type: delete]
MSG-CONFIRM-OpeningBalances-20480,confirmation prompt,project dialog,Post these opening GL balances?,ترحيل أرصدة الحسابات الافتتاحية؟,Comptabiliser ces soldes d'ouverture GL ?,yes,repository-verified,CrossBuy/Views/Inventory/OpeningBalances.cshtml  [dialog type: generic]
MSG-CONFIRM-ReorderSettings-5979,confirmation prompt,project dialog,Save settings?,حفظ الإعدادات؟,Enregistrer les paramètres ?,yes,repository-verified,CrossBuy/Views/Inventory/ReorderSettings.cshtml  [dialog type: edit]
MSG-CONFIRM-FloorPlan-25289,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Pos/FloorPlan.cshtml  [dialog type: delete]
MSG-CONFIRM-FloorPlan-25367,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Pos/FloorPlan.cshtml  [dialog type: native]
MSG-CONFIRM-Team-8517,confirmation prompt,browser confirm(),End this membership?,(missing — key shown),(missing — key shown),NO,repository-verified,CrossBuy/Views/Project/Team.cshtml  [dialog type: native]
MSG-CONFIRM-BranchDetails-42221,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Service/BranchDetails.cshtml  [dialog type: edit]
MSG-CONFIRM-CompanyDetails-36926,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Service/CompanyDetails.cshtml  [dialog type: edit]
MSG-CONFIRM-Templates-29647,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Tasks/Templates.cshtml  [dialog type: goingActive]
MSG-CONFIRM-Templates-29811,confirmation prompt,view (text built at runtime),(prompt text is assembled in JavaScript — see the view),,,not resolvable from source,repository-verified,CrossBuy/Views/Tasks/Templates.cshtml  [dialog type: native]
