CapabilityId,PlatformOrModule,Capability,Description,CurrentStatus,ImplementationLevel,ProductionActivation,UIStatus,APIStatus,DatabaseStatus,TestEvidence,SecurityStatus,MultiTenantStatus,ReportingStatus,CommunicationStatus,MobileStatus,AIReadiness,Dependencies,BlockingDecision,RiskIds,RecommendedPhase,SourceEvidence
SRC-01,Search,Platform search,Cross-module search index and query surface honouring per-module authorization at query time.,NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,Core to AI,PLT-03,D-28 Search ownership,R-95,R12,No source
SUP-01,Support and Customer Service,Service tickets,"Ticket capture, categories, bilingual description fields.",LegacyExisting,Full,Active,Service views (5),None,Ticket tables,None identified,No dedicated access service,Per company,Planned,Not registered in Comm,Planned,None,PLT-01,D-13 external principal,R-67,R6,Controllers/ServiceController.cs
SUP-02,Support and Customer Service,External principal and customer-visible comments,Allowing a customer to participate in a support thread.,BlockedByDecision,None,None,Not started,None,None,None,Unresolved trust boundary,Per company,None,Depends on Comm registration,Planned,None,COM-06,"D-13,D-14",R-68,R6,ADR-033
TSK-01,Task Management,Task core,"Tasks, categories, progress, links to business entities.",LegacyExisting,Full,Active,Tasks views (5),None,tasks_tm1/tm2 slices,TasksAccessService tests,TasksAccessService,Per company,Planned,Not registered in Comm,Planned,None,PLT-01,D-25 Task ownership,R-60,R5,BL/TaskService.cs
TSK-02,Task Management,"Timesheet, labour and billing","Task timesheets, labour cost, billing linkage.",LegacyExisting,Full,Active,Tasks views,None,tasks_tm3/tm4/tm5,Partial,TasksAccessService,Per company,Planned,None,Planned,None,TSK-01,None,R-61,R5,BL/TimesheetService.cs; BL/TaskBillingService.cs
TSK-03,Task Management,Task automation and generation,Rule-driven task generation via hosted service.,LegacyExisting,Full,Active - hosted service registered,Tasks views,None,tasks_tm7_automation,Partial,TasksAccessService,Per company,Planned,None,None,Automation candidate,TSK-01,None,R-62,R5,BL/TaskGeneratorHostedService.cs
TSK-04,Task Management,Scheduled task matching,Scheduled-task matcher hosted service (TM-9).,LegacyExisting,Full,Active - hosted service registered,Tasks views,None,tasks_tm9_scheduled,Partial,TasksAccessService,Per company,Planned,None,None,None,TSK-03,None,R-63,R5,BL/TaskScheduleMatchHostedService.cs
TSK-05,Task Management,Integrated Tasks + Calendar workspace,"A single My Work surface combining tasks, calendar and mentions.",NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,None,"TSK-01,CAL-01,COM-01",D-25,R-64,R5,No source
WFL-01,Workflow and Approvals,Approvals inbox,Approval inbox surface and inventory approval service.,Partial,"Two services, one view",Active,1 view,None,Approval tables,None identified,Partial,Per company,Planned,Planned,Planned,None,PLT-01,None,R-93,R1,BL/InventoryApprovalService.cs; Controllers/ApprovalsController.cs
WFL-02,Workflow and Approvals,Generic workflow engine,Configurable multi-step approval routing across modules.,NotStarted,None,None,Not started,None,None,None,None,N/A,Planned,Planned,Planned,None,WFL-01,None,R-94,R10,No source
WSP-01,CrossBusiness Workspace,Unified workspace shell,The first integrated user-facing product. Owns no business data; orchestrates approved service contracts.,Planned,None,None,Not started,None,None - owns no tables,None,Adds NO permissions - every read delegates to the owning module access service,Per company via delegated services,Saved and recent reports,Mentions and timeline embedded,Planned,Aggregation surface,"PLT-05,COM-08,TSK-01,REP-09",D-41 approved,R-109,R3,No source - D-41
